"","year_el","state","pc_no","n_college","position","Caste_Rec","dyn","source","assembly_no","month","poll_no","delimid","candidate","sex","party","votes","candidate_type","valid_votes","electors","constituency_name","constituency_type","sub_region","n_cand","turnout_percentage","vote_share_percentage","deposit_lost","margin","margin_percentage","enop","pid","party_type_tcpd","party_id","last_poll","contested","last_party","last_party_id","last_constituency_name","same_constituency","same_party","no_terms","turncoat","incumbent","recontest","myneta_education","tcpd_prof_main","tcpd_prof_main_desc","tcpd_prof_second","tcpd_prof_second_desc","election_type"
"1",1989,"bihar",15,1,2,"","0","Arun",9,11,0,3,"NAGENDRA JHA (BAGHANT)","M","INC",278437,"",648822,921749,"DARBHANGA","GEN","",22,70.39,42.91,"no",274861,42.36,2.08,"GEBR37494","National Party",3482,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"2",1989,"bihar",15,1,1,"","1","Arun",9,11,0,3,"SHAKEEUL RAHMAN","M","JD",356894,"",648822,921749,"DARBHANGA","GEN","",22,70.39,55.01,"no",78457,12.09,2.08,"GEBR37496","National Party",4217,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"3",1989,"chandigarh",1,1,3,"","","",9,11,0,3,"DHARAM VIR SEHGAL","M","BJP",26586,"",216903,334522,"CHANDIGARH","GEN","",27,64.84,12.26,"yes",23681,10.92,2.78,"GECH35796","National Party",1605,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"4",1989,"chandigarh",1,1,1,NA,"0","TALHA",9,11,0,3,"HARMOHAN DHAWAN","M","JD",91212,"",216903,334522,"CHANDIGARH","GEN","",27,64.84,42.05,"no",3974,1.83,2.78,"GECH35817","National Party",4217,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"5",1989,"chandigarh",1,1,2,"","0","TALHA",9,11,0,3,"JAGAN NATH KAUSHAL","M","INC",87238,"",216903,334522,"CHANDIGARH","GEN","",27,64.84,40.22,"no",60652,27.96,2.78,"GECH30339","National Party",3482,TRUE,3,"INC",3482,"CHANDIGARH",TRUE,TRUE,2,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"6",1989,"delhi",2,1,1,"","0","TALHA",9,11,0,3,"MADAN LAL KHURANA","M","BJP",282904,"",476096,849216,"SOUTH DELHI","GEN","",39,56.06,59.42,"no",104994,22.05,2.04,"GEDL30592","National Party",1605,TRUE,2,"BJP",1605,"DELHI SADAR",FALSE,TRUE,1,FALSE,FALSE,TRUE,"","","","","","Lok Sabha Election (GE)"
"7",1989,"delhi",2,1,2,"UC","0","TALHA",9,11,0,3,"SHUBASH CHOPRA","M","INC",177910,"",476096,849216,"SOUTH DELHI","GEN","",39,56.06,37.37,"no",175669,36.9,2.04,"GEDL35848","National Party",3482,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"8",1989,"delhi",3,1,2,"","0","Pradeep",9,11,0,3,"BHARAT SINGH","M","INC",331743,"",776544,1574973,"OUTER DELHI","GEN","",50,49.31,42.72,"no",307351,39.58,2.38,"GEDL30437","National Party",3482,TRUE,2,"INC",3482,"OUTER DELHI",TRUE,TRUE,1,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"9",1989,"delhi",3,1,1,"IC","0","TALHA",9,11,0,3,"TARIF SINGH","M","JD",384076,"",776544,1574973,"OUTER DELHI","GEN","",50,49.31,49.46,"no",52333,6.74,2.38,"GEDL30439","National Party",4217,TRUE,2,"LKD",4996,"OUTER DELHI",TRUE,FALSE,1,TRUE,FALSE,TRUE,"","","","","","Lok Sabha Election (GE)"
"10",1989,"delhi",7,1,2,"","0","Pradeep",9,11,0,3,"DHARAM DASS SHASTRI","M","INC",134890,"",285202,481032,"KAROL BAGH","SC","",15,59.29,47.3,"no",131690,46.17,2.13,"GEDL26898","National Party",3482,TRUE,2,"INC(I)",3482,"KAROL BAGH",TRUE,TRUE,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"11",1989,"delhi",7,1,1,"","0","TALHA",9,11,0,3,"KALKA DASS","M","BJP",141859,"",285202,481032,"KAROL BAGH","SC","",15,59.29,49.74,"no",6969,2.44,2.13,"GEDL37168","National Party",1605,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"12",1989,"goa",1,2,1,"","0","Joel",9,11,0,3,"GOPAL MAYOKAR","M","MAG",116392,"",239044,333994,"PANAJI","GEN","",13,71.57,48.69,"no",15837,6.63,2.38,"GEGA37180","Local Party",5270,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
