"","year_el","state","pc_no","n_college"
"1",1989,"andaman and nicobar islands",1,1
"2",1989,"assam",1,1
"3",1989,"assam",2,1
"4",1989,"assam",5,4
"5",1989,"assam",6,2
"6",1989,"assam",7,2
"7",1989,"assam",8,1
"8",1989,"assam",9,2
"9",1989,"assam",10,5
"10",1989,"assam",11,4
"11",1989,"assam",12,2
"12",1989,"assam",13,2
"13",1989,"assam",14,2
"14",1989,"bihar",15,1
"15",1989,"chandigarh",1,1
"16",1989,"chhattisgarh",1,2
"17",1989,"chhattisgarh",2,1
"18",1989,"chhattisgarh",3,1
"19",1989,"chhattisgarh",4,5
"20",1989,"chhattisgarh",5,1
"21",1989,"chhattisgarh",6,9
"22",1989,"chhattisgarh",7,2
"23",1989,"chhattisgarh",8,1
"24",1989,"chhattisgarh",9,1
"25",1989,"chhattisgarh",10,6
"26",1989,"chhattisgarh",11,8
"27",1989,"daman and diu",1,1
"28",1989,"delhi",2,1
"29",1989,"delhi",3,1
"30",1989,"delhi",7,1
"31",1989,"goa",1,2
"32",1989,"goa",2,2
"33",1989,"gujarat",1,2
"34",1989,"gujarat",3,1
"35",1989,"gujarat",4,3
"36",1989,"gujarat",9,1
"37",1989,"gujarat",10,1
"38",1989,"gujarat",11,2
"39",1989,"gujarat",13,1
"40",1989,"gujarat",15,4
"41",1989,"gujarat",17,2
"42",1989,"gujarat",18,2
"43",1989,"gujarat",23,2
"44",1989,"gujarat",25,1
"45",1989,"gujarat",26,2
"46",1989,"haryana",4,1
"47",1989,"haryana",5,1
"48",1989,"haryana",6,2
"49",1989,"haryana",7,1
"50",1989,"himachal pradesh",3,2
"51",1989,"jammu and kashmir",5,2
"52",1989,"jammu and kashmir",6,1
"53",1989,"jharkhand",2,1
"54",1989,"jharkhand",8,1
"55",1989,"jharkhand",10,1
"56",1989,"karnataka",1,4
"57",1989,"karnataka",2,4
"58",1989,"karnataka",5,1
"59",1989,"karnataka",6,3
"60",1989,"karnataka",7,1
"61",1989,"karnataka",8,2
"62",1989,"karnataka",9,1
"63",1989,"karnataka",11,2
"64",1989,"karnataka",13,8
"65",1989,"karnataka",16,1
"66",1989,"karnataka",17,2
"67",1989,"karnataka",18,3
"68",1989,"karnataka",20,1
"69",1989,"karnataka",23,1
"70",1989,"karnataka",25,2
"71",1989,"karnataka",27,1
"72",1989,"karnataka",28,3
"73",1989,"kerala",4,2
"74",1989,"kerala",9,1
"75",1989,"kerala",11,1
"76",1989,"madhya pradesh",1,1
"77",1989,"madhya pradesh",2,4
"78",1989,"madhya pradesh",3,3
"79",1989,"madhya pradesh",4,1
"80",1989,"madhya pradesh",5,2
"81",1989,"madhya pradesh",6,4
"82",1989,"madhya pradesh",7,7
"83",1989,"madhya pradesh",8,3
"84",1989,"madhya pradesh",9,4
"85",1989,"madhya pradesh",10,4
"86",1989,"madhya pradesh",11,2
"87",1989,"madhya pradesh",12,3
"88",1989,"madhya pradesh",14,3
"89",1989,"madhya pradesh",15,2
"90",1989,"madhya pradesh",16,3
"91",1989,"madhya pradesh",17,1
"92",1989,"madhya pradesh",18,4
"93",1989,"madhya pradesh",19,4
"94",1989,"madhya pradesh",20,2
"95",1989,"madhya pradesh",22,2
"96",1989,"madhya pradesh",25,1
"97",1989,"madhya pradesh",26,2
"98",1989,"madhya pradesh",27,2
"99",1989,"madhya pradesh",28,1
"100",1989,"madhya pradesh",29,1
"101",1989,"maharashtra",1,1
"102",1989,"maharashtra",2,2
"103",1989,"maharashtra",3,12
"104",1989,"maharashtra",5,3
"105",1989,"maharashtra",6,5
"106",1989,"maharashtra",7,4
"107",1989,"maharashtra",8,2
"108",1989,"maharashtra",9,2
"109",1989,"maharashtra",10,10
"110",1989,"maharashtra",11,3
"111",1989,"maharashtra",12,4
"112",1989,"maharashtra",13,8
"113",1989,"maharashtra",14,6
"114",1989,"maharashtra",15,7
"115",1989,"maharashtra",16,5
"116",1989,"maharashtra",17,5
"117",1989,"maharashtra",18,3
"118",1989,"maharashtra",19,3
"119",1989,"maharashtra",20,5
"120",1989,"maharashtra",21,4
"121",1989,"maharashtra",22,3
"122",1989,"maharashtra",23,17
"123",1989,"maharashtra",24,5
"124",1989,"maharashtra",25,3
"125",1989,"maharashtra",26,6
"126",1989,"maharashtra",27,7
"127",1989,"maharashtra",28,3
"128",1989,"maharashtra",29,6
"129",1989,"maharashtra",30,8
"130",1989,"maharashtra",31,2
"131",1989,"maharashtra",32,1
"132",1989,"maharashtra",33,14
"133",1989,"maharashtra",34,6
"134",1989,"maharashtra",35,6
"135",1989,"maharashtra",36,8
"136",1989,"maharashtra",37,7
"137",1989,"maharashtra",38,3
"138",1989,"maharashtra",39,8
"139",1989,"maharashtra",40,4
"140",1989,"maharashtra",41,4
"141",1989,"maharashtra",42,9
"142",1989,"maharashtra",43,7
"143",1989,"maharashtra",44,2
"144",1989,"maharashtra",45,7
"145",1989,"maharashtra",46,4
"146",1989,"maharashtra",47,5
"147",1989,"maharashtra",48,13
"148",1989,"manipur",2,1
"149",1989,"meghalaya",2,1
"150",1989,"mizoram",1,1
"151",1989,"odisha",1,8
"152",1989,"odisha",2,3
"153",1989,"odisha",3,3
"154",1989,"odisha",4,12
"155",1989,"odisha",5,2
"156",1989,"odisha",6,2
"157",1989,"odisha",7,1
"158",1989,"odisha",8,5
"159",1989,"odisha",9,5
"160",1989,"odisha",10,1
"161",1989,"odisha",11,3
"162",1989,"odisha",13,1
"163",1989,"odisha",14,1
"164",1989,"odisha",15,4
"165",1989,"odisha",16,1
"166",1989,"odisha",17,7
"167",1989,"odisha",18,2
"168",1989,"odisha",19,3
"169",1989,"odisha",20,1
"170",1989,"odisha",21,3
"171",1989,"puducherry",1,2
"172",1989,"punjab",1,2
"173",1989,"punjab",3,2
"174",1989,"punjab",5,1
"175",1989,"punjab",7,1
"176",1989,"punjab",9,4
"177",1989,"punjab",11,2
"178",1989,"punjab",12,2
"179",1989,"punjab",13,1
"180",1989,"rajasthan",2,2
"181",1989,"rajasthan",3,1
"182",1989,"rajasthan",5,1
"183",1989,"rajasthan",6,7
"184",1989,"rajasthan",9,3
"185",1989,"rajasthan",11,2
"186",1989,"rajasthan",13,2
"187",1989,"rajasthan",14,2
"188",1989,"rajasthan",16,4
"189",1989,"rajasthan",19,1
"190",1989,"rajasthan",20,1
"191",1989,"rajasthan",21,1
"192",1989,"rajasthan",22,1
"193",1989,"rajasthan",23,2
"194",1989,"rajasthan",24,2
"195",1989,"rajasthan",25,2
"196",1989,"sikkim",1,3
"197",1989,"tamil nadu",1,1
"198",1989,"tamil nadu",7,2
"199",1989,"tamil nadu",10,1
"200",1989,"tamil nadu",16,2
"201",1989,"tamil nadu",17,2
"202",1989,"tamil nadu",18,1
"203",1989,"tamil nadu",20,3
"204",1989,"tamil nadu",24,1
"205",1989,"tamil nadu",26,1
"206",1989,"tamil nadu",31,1
"207",1989,"tamil nadu",35,2
"208",1989,"tamil nadu",36,1
"209",1989,"telangana",28,1
"210",1989,"telangana",29,1
"211",1989,"telangana",30,4
"212",1989,"telangana",31,16
"213",1989,"telangana",33,1
"214",1989,"telangana",34,1
"215",1989,"telangana",35,1
"216",1989,"telangana",36,1
"217",1989,"telangana",37,1
"218",1989,"telangana",38,2
"219",1989,"telangana",40,2
"220",1989,"telangana",41,2
"221",1989,"telangana",42,2
"222",1989,"uttar pradesh",1,1
"223",1989,"uttar pradesh",7,1
"224",1989,"uttar pradesh",9,2
"225",1989,"uttar pradesh",13,1
"226",1989,"uttar pradesh",16,3
"227",1989,"uttar pradesh",18,1
"228",1989,"uttar pradesh",23,1
"229",1989,"uttar pradesh",25,2
"230",1989,"uttar pradesh",34,1
"231",1989,"uttar pradesh",36,1
"232",1989,"uttar pradesh",43,1
"233",1989,"uttar pradesh",46,1
"234",1989,"uttar pradesh",47,1
"235",1989,"uttar pradesh",49,2
"236",1989,"uttar pradesh",52,1
"237",1989,"uttar pradesh",53,1
"238",1989,"uttar pradesh",54,1
"239",1989,"uttar pradesh",57,2
"240",1989,"uttar pradesh",59,1
"241",1989,"uttar pradesh",60,1
"242",1989,"uttar pradesh",62,1
"243",1989,"uttar pradesh",63,1
"244",1989,"uttar pradesh",65,1
"245",1989,"uttar pradesh",75,2
"246",1989,"uttar pradesh",77,1
"247",1989,"uttar pradesh",78,1
"248",1989,"uttar pradesh",79,1
"249",1989,"uttarakhand",1,1
"250",1989,"uttarakhand",2,1
"251",1989,"uttarakhand",3,3
"252",1989,"uttarakhand",4,1
"253",1989,"uttarakhand",5,1
"254",1989,"west bengal",4,2
"255",1989,"west bengal",7,1
"256",1989,"west bengal",18,1
"257",1989,"west bengal",23,1
"258",1989,"west bengal",27,1
"259",1989,"west bengal",31,1
"260",1991,"assam",1,5
"261",1991,"assam",2,4
"262",1991,"assam",3,6
"263",1991,"assam",4,8
"264",1991,"assam",5,6
"265",1991,"assam",6,15
"266",1991,"assam",7,16
"267",1991,"assam",8,6
"268",1991,"assam",9,4
"269",1991,"assam",10,10
"270",1991,"assam",11,2
"271",1991,"assam",12,5
"272",1991,"assam",13,3
"273",1991,"assam",14,9
"274",1991,"assam",42,1
"275",1991,"bihar",4,1
"276",1991,"bihar",6,1
"277",1991,"bihar",7,1
"278",1991,"bihar",30,1
"279",1991,"bihar",32,1
"280",1991,"chandigarh",1,2
"281",1991,"chhattisgarh",3,2
"282",1991,"chhattisgarh",6,7
"283",1991,"chhattisgarh",7,2
"284",1991,"chhattisgarh",10,1
"285",1991,"dadra and nagar haveli",1,1
"286",1991,"daman and diu",1,1
"287",1991,"delhi",1,3
"288",1991,"delhi",2,3
"289",1991,"delhi",3,10
"290",1991,"delhi",4,7
"291",1991,"goa",1,3
"292",1991,"goa",2,7
"293",1991,"gujarat",1,2
"294",1991,"gujarat",2,1
"295",1991,"gujarat",3,4
"296",1991,"gujarat",4,6
"297",1991,"gujarat",5,3
"298",1991,"gujarat",6,6
"299",1991,"gujarat",7,5
"300",1991,"gujarat",8,2
"301",1991,"gujarat",9,2
"302",1991,"gujarat",10,8
"303",1991,"gujarat",11,13
"304",1991,"gujarat",12,3
"305",1991,"gujarat",13,2
"306",1991,"gujarat",14,2
"307",1991,"gujarat",15,7
"308",1991,"gujarat",16,3
"309",1991,"gujarat",17,2
"310",1991,"gujarat",18,4
"311",1991,"gujarat",19,1
"312",1991,"gujarat",20,2
"313",1991,"gujarat",21,4
"314",1991,"gujarat",22,3
"315",1991,"gujarat",23,3
"316",1991,"gujarat",24,9
"317",1991,"gujarat",25,2
"318",1991,"gujarat",26,2
"319",1991,"haryana",1,2
"320",1991,"haryana",2,4
"321",1991,"haryana",3,1
"322",1991,"haryana",4,4
"323",1991,"haryana",5,3
"324",1991,"haryana",6,5
"325",1991,"haryana",7,2
"326",1991,"haryana",8,5
"327",1991,"haryana",9,2
"328",1991,"haryana",10,1
"329",1991,"himachal pradesh",1,7
"330",1991,"himachal pradesh",2,7
"331",1991,"himachal pradesh",3,8
"332",1991,"himachal pradesh",4,5
"333",1991,"himachal pradesh",13,1
"334",1991,"jammu and kashmir",1,2
"335",1991,"jammu and kashmir",2,7
"336",1991,"jammu and kashmir",3,1
"337",1991,"jammu and kashmir",5,1
"338",1991,"jammu and kashmir",6,5
"339",1991,"jharkhand",4,1
"340",1991,"jharkhand",7,1
"341",1991,"karnataka",1,17
"342",1991,"karnataka",2,19
"343",1991,"karnataka",3,12
"344",1991,"karnataka",4,5
"345",1991,"karnataka",5,8
"346",1991,"karnataka",6,23
"347",1991,"karnataka",7,7
"348",1991,"karnataka",8,13
"349",1991,"karnataka",9,4
"350",1991,"karnataka",10,8
"351",1991,"karnataka",11,33
"352",1991,"karnataka",12,22
"353",1991,"karnataka",13,34
"354",1991,"karnataka",14,7
"355",1991,"karnataka",15,3
"356",1991,"karnataka",16,16
"357",1991,"karnataka",17,13
"358",1991,"karnataka",18,24
"359",1991,"karnataka",19,9
"360",1991,"karnataka",20,7
"361",1991,"karnataka",21,14
"362",1991,"karnataka",22,5
"363",1991,"karnataka",23,10
"364",1991,"karnataka",24,21
"365",1991,"karnataka",25,16
"366",1991,"karnataka",26,4
"367",1991,"karnataka",27,7
"368",1991,"karnataka",28,13
"369",1991,"karnataka",29,1
"370",1991,"kerala",1,6
"371",1991,"kerala",2,4
"372",1991,"kerala",3,2
"373",1991,"kerala",4,9
