"","pc01_state_name","PC_no_2001","year_el","avg_yearly_growth"
"1","andhra pradesh",1,"1994",0.0893952095466921
"2","andhra pradesh",1,"1996",-0.013278919197871
"3","andhra pradesh",1,"1998",-0.0079776150503066
"4","andhra pradesh",1,"1999",0.029350893236703
"5","andhra pradesh",1,"2004",0.0126272178519993
"6","andhra pradesh",1,"2009",-0.00235613875531824
"7","andhra pradesh",2,"1994",-0.0647813590237919
"8","andhra pradesh",2,"1996",0.129076262494294
"9","andhra pradesh",2,"1998",0.0759572805418078
"10","andhra pradesh",2,"1999",-0.017996044480478
"11","andhra pradesh",2,"2004",0.0494693074420008
"12","andhra pradesh",2,"2009",0.118098069388632
"13","andhra pradesh",3,"1994",-0.0930853652624483
"14","andhra pradesh",3,"1996",-0.134934871847173
"15","andhra pradesh",3,"1998",-0.22851746931067
"16","andhra pradesh",3,"1999",0.531454027455882
"17","andhra pradesh",3,"2004",0.111645079639623
"18","andhra pradesh",3,"2009",0.223177566652481
"19","andhra pradesh",4,"1994",0.0528896802617083
"20","andhra pradesh",4,"1996",0.0364479576380093
"21","andhra pradesh",4,"1998",-0.305929407643126
"22","andhra pradesh",4,"1999",0.375585549354658
"23","andhra pradesh",4,"2004",0.0962655394204971
"24","andhra pradesh",4,"2009",0.152115432994786
"25","andhra pradesh",5,"1994",-0.0627129418831137
"26","andhra pradesh",5,"1996",0.0200183762799218
"27","andhra pradesh",5,"1998",0.0267707965362179
"28","andhra pradesh",5,"1999",0.00974704277555573
"29","andhra pradesh",5,"2004",0.018218515471814
"30","andhra pradesh",5,"2009",-0.0062268007162441
"31","andhra pradesh",6,"1994",0.110929180237432
"32","andhra pradesh",6,"1996",-0.0218194480308475
"33","andhra pradesh",6,"1998",-0.0298875788319166
"34","andhra pradesh",6,"1999",0.0169794228519083
"35","andhra pradesh",6,"2004",0.0289163731639625
"36","andhra pradesh",6,"2009",-0.0521937738974192
"37","andhra pradesh",7,"1994",-0.0829734805090483
"38","andhra pradesh",7,"1996",0.0460075161008885
"39","andhra pradesh",7,"1998",0.213531047265987
"40","andhra pradesh",7,"1999",0.758537178436143
"41","andhra pradesh",7,"2004",0.131842289980428
"42","andhra pradesh",7,"2009",0.183945604607598
"43","andhra pradesh",8,"1994",-0.148368728391689
"44","andhra pradesh",8,"1996",-0.00919121071494734
"45","andhra pradesh",8,"1998",0.122669873722189
"46","andhra pradesh",8,"1999",0.281327600288441
"47","andhra pradesh",8,"2004",0.105737933706645
"48","andhra pradesh",8,"2009",0.120454346706184
"49","andhra pradesh",9,"1994",0.374023162872835
"50","andhra pradesh",9,"1996",0.0555227465180004
"51","andhra pradesh",9,"1998",0.130051804583505
"52","andhra pradesh",9,"1999",-0.00887791495174011
"53","andhra pradesh",9,"2004",0.00585808416132099
"54","andhra pradesh",9,"2009",0.0702853567963628
"55","andhra pradesh",10,"1994",-0.142512517359902
"56","andhra pradesh",10,"1996",0.22622436259874
"57","andhra pradesh",10,"1998",-0.00626933274414494
"58","andhra pradesh",10,"1999",-0.00797788473690042
"59","andhra pradesh",10,"2004",0.0126488482701055
"60","andhra pradesh",10,"2009",0.0185684268861341
"61","andhra pradesh",11,"1994",0.269162009992652
"62","andhra pradesh",11,"1996",-0.0658239124837711
"63","andhra pradesh",11,"1998",-0.17101016043631
"64","andhra pradesh",11,"1999",0.0245225176999863
"65","andhra pradesh",11,"2004",0.00772523765287687
"66","andhra pradesh",11,"2009",0.0503891970141812
"67","andhra pradesh",12,"1994",-0.151019251323916
"68","andhra pradesh",12,"1996",0.0582056594267476
"69","andhra pradesh",12,"1998",0.081864729697547
"70","andhra pradesh",12,"1999",0.0122362900391323
"71","andhra pradesh",12,"2004",0.0279458609346717
"72","andhra pradesh",12,"2009",0.0390998270829072
"73","andhra pradesh",13,"1994",-0.120459447515119
"74","andhra pradesh",13,"1996",0.00846959572910733
"75","andhra pradesh",13,"1998",-0.0237050043898156
"76","andhra pradesh",13,"1999",0.0760116319710574
"77","andhra pradesh",13,"2004",0.0470981390168947
"78","andhra pradesh",13,"2009",0.123456888734866
"79","andhra pradesh",14,"1994",-0.156691479393239
"80","andhra pradesh",14,"1996",0.0812324780719731
"81","andhra pradesh",14,"1998",0.128700882743536
"82","andhra pradesh",14,"1999",0.142909944360007
"83","andhra pradesh",14,"2004",0.0993859213753207
"84","andhra pradesh",14,"2009",0.109273197877022
"85","andhra pradesh",15,"1994",-0.026437313075356
"86","andhra pradesh",15,"1996",-0.0621180961108677
"87","andhra pradesh",15,"1998",-0.0552848030917081
"88","andhra pradesh",15,"1999",0.190908696255232
"89","andhra pradesh",15,"2004",0.0804258543466198
"90","andhra pradesh",15,"2009",0.0842397003264373
"91","andhra pradesh",16,"1994",-0.122088723177102
"92","andhra pradesh",16,"1996",0.0236909431249789
"93","andhra pradesh",16,"1998",-0.129828190831799
"94","andhra pradesh",16,"1999",0.117370914650209
"95","andhra pradesh",16,"2004",0.0490238145929553
"96","andhra pradesh",16,"2009",0.0596263770648601
